candidato,partido,votos,porcentaje,electo,lista,comuna,pacto,distrito,region
1. BARBARA JACQUELINE CORDOVA RETAMAL (M),IND,39,0.0057,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
2. LEONARDO ANDRES LATORRE MELIN (H),IND,23,0.0034,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
3. PATRICIA ANDREA TORRES GUERRERO (M),IND,41,6,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
4. FRANCISCO JAVIER VERGARA VALLEJOS (H),IND,14,0.0021,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
5. ROMINA ALEJANDRA AMESTICA ABURTO (M),IND,19,0.0028,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
6. JULIO MAXIMILIANO PRISCHTT NU�EZ (H),IND,4,"0,0006",FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
7. DANIXA ALEJANDRA BECERRA CASTRO (M),IND,24,0.0035,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
8. MIGUEL ANGEL ESPINOZA URBINA (H),IND,18,0.0026,FALSE,SOBERANIA CIUDADANA (D7),ALGARROBO,Otros,D7,Valparaiso
9. MARCELO VICTOR HERRERA CARRE�O (H),PH,109,16,FALSE,PARTIDO HUMANISTA,ALGARROBO,Otros,D7,Valparaiso
10. JEANETTE PAMELA BRUNA JARA (M),IND-RN,225,0.0331,FALSE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
11. RAUL CELIS MONTT (H),RN,303,0.0445,TRUE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
12. TANIA VERONICA CORDOVA CASTRO (M),RN,90,0.0132,FALSE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
13. JUAN PABLO RODRIGUEZ OYARZUN (H),IND-UDI,191,0.0281,FALSE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
14. MACARENA URENDA SALAMANCA (M),UDI,188,0.0276,FALSE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
15. JORGE ARANCIBIA REYES (H),IND-UDI,651,0.0957,TRUE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
16. MARLENNE CAROLINA AROCA GUERRERO (M),EVOPOLI,66,0.0097,FALSE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
17. HOTUITI RANGI TEAO DRAGO (H),IND-EVOPOLI,229,0.0337,FALSE,VAMOS POR CHILE,ALGARROBO,Vamos por Chile,D7,Valparaiso
18. PAZ  ANASTASIADIS LE ROY (M),PDC,196,0.0288,FALSE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
19. RAUL  BURGOS PINTO (H),IND-PDC,68,0.01,FALSE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
20. PAULA GUTIERREZ HUENCHULEO (M),PS,111,0.0163,FALSE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
21. PEDRO CAYUQUEO MILLAQUEO (H),IND-PS,115,0.0169,FALSE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
22. PAOLA TAPIA SALAS (M),IND-PPD,123,0.0181,FALSE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
23. AGUSTIN SQUELLA NARDUCCI (H),IND-PL,294,0.0432,TRUE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
24. ALEJANDRA DEL CARMEN ZU�IGA FAJURI (M),IND-PL,72,0.0106,FALSE,LISTA DEL APRUEBO,ALGARROBO,Lista del apruebo,D7,Valparaiso
25. GUISELA VIVIANA URIBE ROJAS (M),IND,52,0.0076,FALSE,LISTA INDEPENDIENTE PARTO SOCIAL (D7),ALGARROBO,Otros,D7,Valparaiso
