candidato,votos,electo,lista,comuna,pacto,distrito,region
63. CAMILA IGNACIA ZARATE ZARATE (M),461,TRUE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
64. PABLO ALEJANDRO DONOSO CHRISTIE (H),372,FALSE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
65. TANIA ISABEL MADRIAGA FLORES (M),90,TRUE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
66. TOMAS IGNACIO LAGOMARSINO GUZMAN (H),133,FALSE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
67. PAMELA VIVANCO MONTERO (M),85,FALSE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
68. ISAIAS ANTONIO ROJAS PE�A (H),26,FALSE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
69. SONIA DEL CARMEN CACERES GONZALEZ (M),37,FALSE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
70. FRANCISCO JAVIER SILVA BUSTAMANTE (H),42,FALSE,LA LISTA DEL PUEBLO (D7),ALGARROBO,Del pueblo,D7,Valparaiso
22. JOSEFA ANDREA FAUNDEZ ESPINOZA (M),89,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),ALHUE,Del pueblo,D14,Metropolitana
23. FRANCISCO JAVIER CAAMA�O ROJAS (H),179,TRUE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),ALHUE,Del pueblo,D14,Metropolitana
24. CAROLINA  LASSALLE ALCERRECA (M),50,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),ALHUE,Del pueblo,D14,Metropolitana
25. RODRIGO ENRIQUE URZUA CHAVEZ (H),19,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),ALHUE,Del pueblo,D14,Metropolitana
26. CLAUDIA ACEVEDO MORALES (M),76,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),ALHUE,Del pueblo,D14,Metropolitana
1. CONSTANZA ANDREA SAN JUAN STANDEN (M),622,TRUE,ASAMBLEA CONSTITUYENTE ATACAMA,ALTO DEL CARMEN,Del pueblo,D4,Atacama
