pacto,comuna,votos
Apruebo Dignidad,ALGARROBO,1305
Del pueblo,ALGARROBO,1246
Lista del apruebo,ALGARROBO,979
Nueva Constitucion,ALGARROBO,417
Otros,ALGARROBO,916
Vamos por Chile,ALGARROBO,1943
Apruebo Dignidad,ALHUE,604
Del pueblo,ALHUE,413
Lista del apruebo,ALHUE,973
Nueva Constitucion,ALHUE,296
Otros,ALHUE,180
Vamos por Chile,ALHUE,363
Apruebo Dignidad,ALTO BIOBIO,37
Lista del apruebo,ALTO BIOBIO,88
Nueva Constitucion,ALTO BIOBIO,76
Otros,ALTO BIOBIO,153
Vamos por Chile,ALTO BIOBIO,120
Apruebo Dignidad,ALTO DEL CARMEN,158
Del pueblo,ALTO DEL CARMEN,693
Lista del apruebo,ALTO DEL CARMEN,141
Nueva Constitucion,ALTO DEL CARMEN,126
Otros,ALTO DEL CARMEN,70
Vamos por Chile,ALTO DEL CARMEN,439
Apruebo Dignidad,ALTO HOSPICIO,3178
Lista del apruebo,ALTO HOSPICIO,2505
Otros,ALTO HOSPICIO,8034
Vamos por Chile,ALTO HOSPICIO,1933
Apruebo Dignidad,ANCUD,919
Del pueblo,ANCUD,1911
Lista del apruebo,ANCUD,3731
Nueva Constitucion,ANCUD,1114
Otros,ANCUD,1669
Vamos por Chile,ANCUD,2551
Apruebo Dignidad,ANDACOLLO,733
Del pueblo,ANDACOLLO,1389
Lista del apruebo,ANDACOLLO,1005
Otros,ANDACOLLO,1452
Vamos por Chile,ANDACOLLO,488
Apruebo Dignidad,ANGOL,675
Del pueblo,ANGOL,1409
Lista del apruebo,ANGOL,2100
Nueva Constitucion,ANGOL,1781
Otros,ANGOL,2778
Vamos por Chile,ANGOL,4968
Apruebo Dignidad,ANTOFAGASTA,14617
Del pueblo,ANTOFAGASTA,11656
Lista del apruebo,ANTOFAGASTA,9689
Nueva Constitucion,ANTOFAGASTA,6999
Otros,ANTOFAGASTA,40556
Vamos por Chile,ANTOFAGASTA,14298
Apruebo Dignidad,ANTUCO,234
Lista del apruebo,ANTUCO,579
Nueva Constitucion,ANTUCO,316
Otros,ANTUCO,474
Vamos por Chile,ANTUCO,337
Apruebo Dignidad,ARAUCO,2985
Lista del apruebo,ARAUCO,1025
Nueva Constitucion,ARAUCO,1570
Otros,ARAUCO,2950
Vamos por Chile,ARAUCO,1896
Apruebo Dignidad,ARICA,9163
Lista del apruebo,ARICA,9790
Nueva Constitucion,ARICA,6609
Otros,ARICA,22256
Vamos por Chile,ARICA,7872
Apruebo Dignidad,AYSEN,9175
Del pueblo,AYSEN,727
Lista del apruebo,AYSEN,9801
Nueva Constitucion,AYSEN,6605
Otros,AYSEN,22256
Vamos por Chile,AYSEN,7939
Apruebo Dignidad,BUIN,7006
Del pueblo,BUIN,4986
Lista del apruebo,BUIN,6501
Nueva Constitucion,BUIN,3632
Otros,BUIN,3345
Vamos por Chile,BUIN,6557
Apruebo Dignidad,BULNES,841
Del pueblo,BULNES,1261
Lista del apruebo,BULNES,1061
Nueva Constitucion,BULNES,1003
Otros,BULNES,1381
Vamos por Chile,BULNES,2017
Apruebo Dignidad,CABILDO,3215
Del pueblo,CABILDO,692
Lista del apruebo,CABILDO,1160
Nueva Constitucion,CABILDO,520
Otros,CABILDO,939
Vamos por Chile,CABILDO,643
Apruebo Dignidad,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,58
Del pueblo,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,91
Lista del apruebo,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,110
Nueva Constitucion,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,50
Otros,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,131
Vamos por Chile,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,156
Apruebo Dignidad,CABRERO,1295
Lista del apruebo,CABRERO,1078
Nueva Constitucion,CABRERO,1949
Otros,CABRERO,3478
Vamos por Chile,CABRERO,1467
Apruebo Dignidad,CALAMA,6152
Del pueblo,CALAMA,7179
Lista del apruebo,CALAMA,2896
Nueva Constitucion,CALAMA,4655
Otros,CALAMA,11145
Vamos por Chile,CALAMA,5146
Apruebo Dignidad,CALBUCO,1576
Del pueblo,CALBUCO,1489
Lista del apruebo,CALBUCO,1013
Nueva Constitucion,CALBUCO,1485
Otros,CALBUCO,1034
Vamos por Chile,CALBUCO,1725
Apruebo Dignidad,CALDERA,1057
Del pueblo,CALDERA,987
Lista del apruebo,CALDERA,1280
Nueva Constitucion,CALDERA,955
Otros,CALDERA,839
Vamos por Chile,CALDERA,707
Apruebo Dignidad,CALERA,2839
Del pueblo,CALERA,3360
Lista del apruebo,CALERA,2514
Nueva Constitucion,CALERA,1564
Otros,CALERA,5456
Vamos por Chile,CALERA,1958
Apruebo Dignidad,CALERA DE TANGO,2767
Del pueblo,CALERA DE TANGO,1553
Lista del apruebo,CALERA DE TANGO,1726
Nueva Constitucion,CALERA DE TANGO,1132
Otros,CALERA DE TANGO,530
